 
 
 
 
 
 
                         MATH/LIBRARY ROUTINE LIST
 
 
Routine      Library      Diskette       Routine      Library      Diskette
DLSLCC   DMATH1B            23           DMUCBV   DMATH9             39
LSLCG    SMATH1B             4           MUCRV    SMATH9             20
DLSLCG   DMATH1B            23           DMUCRV   DMATH9             39
LSLCT    SMATH1B             4           MURBV    SMATH9             20
DLSLCT   DMATH1B            23           DMURBV   DMATH9             39
LSLDH    SMATH1B             4           MURRV    SMATH9             20
DLSLDH   DMATH1B            23           DMURRV   DMATH9             39
LSLDS    SMATH1A             3           MXTXF    SMATH9             20
DLSLDS   DMATH1A            22           DMXTXF   DMATH9             39
LSLHF    SMATH1B             4           MXTYF    SMATH9             20
DLSLHF   DMATH1B            23           DMXTYF   DMATH9             39
LSLQH    SMATH1B             4           MXYTF    SMATH9             20
DLSLQH   DMATH1B            23           DMXYTF   DMATH9             39
LSLQS    SMATH1A             3           NCONF    SMATH8B            19
DLSLQS   DMATH1A            22           DNCONF   DMATH8B            38
LSLRB    SMATH1A             3           NCONG    SMATH8B            19
DLSLRB   DMATH1A            22           DNCONG   DMATH8B            38
LSLRG    SMATH1A             3           NDAYS    SMATH10, DMATH10   21, 40
DLSLRG   DMATH1A            22           NDYIN    SMATH10, DMATH10   21, 40
LSLRT    SMATH1A             3           NEQNF    SMATH7             17
DLSLRT   DMATH1A            22           DNEQNF   DMATH7             36
LSLSF    SMATH1A             3           NEQNJ    SMATH7             17
DLSLSF   DMATH1A            22           DNEQNJ   DMATH7             36
LSLTC    SMATH1B             4           NR1CB    SMATH9             20
DLSLTC   DMATH1B            23           DNR1CB   DMATH9             39
LSLTO    SMATH1A             3           NR1RB    SMATH9             20
DLSLTO   DMATH1A            22           DNR1RB   DMATH9             39
LSQRR    SMATH1C             5           NR1RR    SMATH9             20
DLSQRR   DMATH1C            24           DNR1RR   DMATH9             39
LSVCR    SMATH1C             5           NR2RR    SMATH9             20
DLSVCR   DMATH1C            24           DNR2RR   DMATH9             39
LSVRR    SMATH1C             5           NRIRR    SMATH9             20
DLSVRR   DMATH1C            24           DNRIRR   DMATH9             39
LUPCH    SMATH1C             5           SNRM2    BLAS                2
DLUPCH   DMATH1C            24           DNRM2    BLAS                2
LUPQR    SMATH1C             5           SCNRM2   BLAS                2
DLUPQR   DMATH1C            24           DZNRM2   BLAS                2
IIMAX    BLAS                2           PAGE     MATHCORE            1
